ID;Тема;Название;Длительность ;Дата;Стоимость ;Страна
1;Фэнтези;Властелин колец: Братство кольца;2 ч 58 мин;2001 г.;93 млн долларов;США
2;Приключения;Назад в будущее;1 ч 56 мин;1985 г.;19 млн долларов;США
3;Драма;Огонь;2 ч 11 мин;2020 г.;350 млн  руб.;Россия
4;Детское;Хранители снов;1 ч 37 мин;2012 г.;145 млн долларов;США
5;Комедия;Правила съёма: Метод Хитча;1 ч 58 мин;2005 г.;70 млн долларов;США
6;Фэнтези;Демон;2 ч 36 мин;2016 г.;9 млн долларов;Южная Корея
7;Боевик;Майор Гром: Игра;2 ч 48 мин;2024 г.;1,2 млрд руб;Россия
8;Драма;Паразиты;2 ч 12 мин;2019 г.;11,4 млн долларов;Южная Корея
9;Детское;Девять жизней;1 ч 27 мин;2016 г.;30 млн долларов;США
10;Комедия;Ёлки лохматые;1 ч 30 мин;2015г.;54 млн руб;Россия
11;Фэнтези;Ведьмак: источник;2 ч 05 мин;2024 г.;15 млн долларов;Польша
12;Приключения;Время Первых;2 ч 20 мин;2017 г.;400 млн руб;Россия
